f,iid,cd,dn,cs,dt
"false","0","22607725","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:07.8080000+03:00"
"false","0","20405673","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:08.0940000+03:00"
"false","0","22800764","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:08.4110000+03:00"
"false","0","22825669","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:08.7440000+03:00"
"false","0","31668892","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:09.0600000+03:00"
"false","0","38780499","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:09.3860000+03:00"
"true","353861759","21616946","Державне підприємство "Комітет з питань гігієнічного регламентування Державної санітарно-епідеміологічної служби України"","зареєстровано","2017-02-14T10:11:09.6970000+03:00"
"false","0","25412778","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:10.0360000+03:00"
"false","0","36225306","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:10.3390000+03:00"
"true","0","00482329","Державне підприємство "Державний науковий центр лікарських засобів"(ДНЦЛЗ)","кабінет не створено","2017-02-14T10:11:10.6480000+03:00"
"true","361870831","22617729","Державне підприємство "Український науковий фармакопейний центр якості лікарських засобів"","зареєстровано","2017-02-14T10:11:10.9930000+03:00"
"false","0","24917766","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:11.3020000+03:00"
"true","24674264","25593685","Державне підприємство по розповсюдженню періодичних видань "Преса"","зареєстровано","2017-02-14T10:11:11.6440000+03:00"
"false","0","01189809","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:11.9470000+03:00"
"false","0","20571874","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:12.2460000+03:00"
"false","0","01190126","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:12.5390000+03:00"
"false","0","04540615","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:12.8350000+03:00"
"false","0","21562972","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:13.1280000+03:00"
"true","265020317","39908375","Казене підприємство "Укрспецзв'язок"","зареєстровано","2017-02-14T10:11:13.4270000+03:00"
"false","0","21668498","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:13.7250000+03:00"
"false","0","23539109","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:14.0170000+03:00"
"true","15421417","01190043","КОНЦЕРН РАДІОМОВЛЕННЯ, РАДІОЗВ'ЯЗКУ ТА ТЕЛЕБАЧЕННЯ","зареєстровано","2017-02-14T10:11:14.3150000+03:00"
"true","142949724","13917415","Державне підприємство "Одеський науково-дослідний інститут зв'язку"","зареєстровано","2017-02-14T10:11:14.6040000+03:00"
"false","0","01188827","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:14.9060000+03:00"
"true","119945897","01188477","Державне підприємство "Одеський обласний радіотелевізійний передавальний центр"","зареєстровано","2017-02-14T10:11:15.2500000+03:00"
