edrpou,org_id,reg_date,full_name,address,head,r_code,region,activity,bankruptcy
23120238,NA,NA,"МАЛЕ ДП З СЕРТИФІКАЦІЇ СКЛА ТА ВИРОБІВ З НЬОГО ""СКЛОСЕРТИФІКАТ""","85104 ДОНЕЦЬКА ОБЛ., М.КОСТЯНТИНІВКА, ВУЛИЦЯ ШМІДТА, 20",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-14,Донецька,Технічні випробування та дослідження,зареєстровано
23168506,NA,NA,"ДП ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ""ОРТ""","1601 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ПРОВУЛОК МУЗЕЙНИЙ, 12",КАБІНЕТ МІНІСТРІВ УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,в стані припинення
23182908,NA,NA,"ДП ""ДОНЕЦЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖГІРПРОМНАГЛЯДУ УКРАЇНИ""","83015 М.ДОНЕЦЬК, ВОРОШИЛОВСЬКИЙ Р-Н, ВУЛИЦЯ ЧЕЛЮСКІНЦІВ, 167 А",ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ПРАЦІ,UA-14,ОРДЛО,Технічні випробування та дослідження,зареєстровано
23186220,NA,NA,"МАЛЕ ДП ""КАМЕЛІЯ""","86151 ДОНЕЦЬКА ОБЛ., М.МАКІЇВКА, ЦЕНТРАЛЬНО-МІСЬКИЙ Р-Н, ПЛОЩА РАДЯНСЬКА, 2",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Діяльність готелів,в стані припинення
23222619,NA,NA,ДП КІРОВОГРАДСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ДЕРЖАВНОГО ЗЕМЕЛЬНОГО КАДАСТРУ,"25006 М.КІРОВОГРАД, ЛЕНІНСЬКИЙ Р-Н, ВУЛИЦЯ ПРЕОБРАЖЕНСЬКА, 26","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-35,Кіровоградська,Знімальні геодезичні та гідрографічні роботи,в стані припинення
23234410,NA,NA,"ДП ""ІНТУРИСТ-КІРОВОГРАД""","25006 М.КІРОВОГРАД, ЛЕНІНСЬКИЙ Р-Н, ВУЛИЦЯ КАРЛА МАРКСА, 50, KB. 303",МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ,UA-35,Кіровоградська,Послуги з організації подорожувань,зареєстровано
23246991,NA,NA,"ДП ""ЧЕРНІВЕЦЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖГІРПРОМНАГЛЯДУ УКРАЇНИ""","58000 М.ЧЕРНІВЦІ, ПЕРШОТРАВНЕВИЙ Р-Н, ВУЛИЦЯ ЗЕЛЕНА, 3",ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ПРАЦІ,UA-77,Чернівецька,Технічні випробування та дослідження,зареєстровано
23269354,NA,NA,"ДП ""ОРГАН З СЕРТИФІКАЦІЇ ПРОТИКОРОЗІЙНИХ ІЗОЛЯЦІЙНИХ ПОКРИТТІВ ""УКРСЕПРОТРУБОІЗОЛ""","79601 М.ЛЬВІВ, ФРАНКІВСЬКИЙ Р-Н, ВУЛИЦЯ НАУКОВА, 5",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-46,Львівська,Технічні випробування та дослідження,зареєстровано
23276414,NA,NA,"ДП ПОЛТАВСЬКА СПЕЦІАЛІЗОВАНА КОНТРОЛЬНО-НАСІННЄВА ЛАБОРАТОРІЯ ПО ЦУКРОВИХ БУРЯКАХ""","36008 М.ПОЛТАВА, ОКТЯБРСЬКИЙ Р-Н, ВУЛИЦЯ КАГАМЛИКА, 74",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-53,Полтавська,Надання послуг у рослинництві; облаштування ландшафту,в стані припинення
23308663,NA,NA,"ДП ГОЩАНСЬКОГО ВІДДІЛУ ""ПРОФДЕЗИНФЕКЦІЯ""","35400 РІВНЕНСЬКА ОБЛ., ГОЩАНСЬКИЙ Р-Н, СМТ ГОЩА, ВУЛИЦЯ ВАЛЕНТИНИ ТЕРЕШКОВОЇ, 18",МІНІСТЕРСТВО ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ,UA-56,Рівненська,Інша діяльність у сфері охорони здоров'я,зареєстровано
23313351,NA,NA,"ДП МІНІСТЕРСТВА ВНУТРІШНІХ СПРАВ УКРАЇНИ ""ЧЕРНІГІВ-ІНФОРМ-РЕСУРСИ""","14000 М.ЧЕРНІГІВ, ДЕСНЯНСЬКИЙ Р-Н, ВУЛИЦЯ ШЕВЧЕНКА, 13",МІНІСТЕРСТВО ВНУТРІШНІХ СПРАВ УКРАЇНИ,UA-74,Чернігівська,Інші види видавничої діяльності,в стані припинення
23343926,NA,NA,"ДП ""ЦЕНТР ПІДГОТОВКИ ТА ПЕРЕПІДГОТОВКИ КАДРІВ""","84601 ДОНЕЦЬКА ОБЛ., М.ГОРЛІВКА, ЦЕНТРАЛЬНО-МІСЬКИЙ Р-Н, ВУЛИЦЯ МИКОЛИ ЧУРИ, 15",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Професійно-технічна освіта,зареєстровано
23345764,NA,NA,"ДЕРЖАВНЕ ТОРГІВЕЛЬНЕ ПІДПРИЄМСТВО КОМБІНАТ ШКІЛЬНОГО ХАРЧУВАННЯ ""ШКОЛЯР"" БУДЬОННІВСЬКОГО РАЙОНУ М.ДОНЕЦЬКА","83058 М.ДОНЕЦЬК, БУДЬОНІВСЬКИЙ Р-Н, ВУЛИЦЯ АРКТИКИ, 7",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-14,ОРДЛО,Постачання інших готових страв,зареєстровано
23369086,NA,NA,"ДП ""ПРИДНІПРОВСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""","49050 М.ДНІПРОПЕТРОВСЬК, БАБУШКІНСЬКИЙ Р-Н, ВУЛИЦЯ КАЗАКОВА, 3",ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ПРАЦІ,UA-12,Дніпропетровська,Технічні випробування та дослідження,зареєстровано
23379396,NA,NA,"ДП ""ГОЛОВНИЙ НАВЧАЛЬНО-МЕТОДИЧНИЙ ЦЕНТР ДЕРЖГІРПРОМНАГЛЯДУ УКРАЇНИ""","4060 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ВАВІЛОВИХ, 10-А",ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ПРАЦІ,UA-30,Київ,Професійно-технічна освіта,зареєстровано
23382004,NA,NA,"ЗАТ ""УКРЕКСПОТРАНС""","М. КИЇВ,  ВУЛ. УМАНСЬКА, 5",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-30,Київ,Діяльність вантажного залізничного транспорту,в стані припинення
23395900,345080212,2016-11-30,ДЕРЖАВНИЙ НДІ ІНФОРМАТИЗАЦІЇ ТА МОДЕЛЮВАННЯ ЕКОНОМІКИ,"1014 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, БУЛЬВАР ДРУЖБИ НАРОДІВ 38",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
23399393,NA,2017-01-31,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""","М.МИКОЛАЇВ, ЗАВОДСЬКИЙ РАЙОН, ВУЛ.ГРОМАДЯНСЬКА, 40",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-48,Миколаївська,Розподілення електроенергії,зареєстровано
23413153,NA,NA,ДП ДОНЕЦЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ДЕРЖАВНОГО ЗЕМЕЛЬНОГО КАДАСТРУ,"83086 М.ДОНЕЦЬК, ВОРОШИЛОВСЬКИЙ Р-Н, ВУЛИЦЯ ФЕДОРА ЗАЙЦЕВА, 46А","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-14,ОРДЛО,"Діяльність у сфері архітектури; інженерна та технічна діяльність, пов'язана з будівництвом",в стані припинення
23413319,NA,NA,"ДВАТ ""ІНФОРМАЦІЙНО-ОБЧИСЛЮВАЛЬНИЙ ЦЕНТР""","ДОНЕЦЬКА ОБЛ., М.ДИМИТРОВ, ВУЛ.ВАТУТІНА, 18",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,зареєстровано
23450378,NA,NA,"КАЗЕННЕ ПІДПРИЄМСТВО ""ПІВДЕННИЙ ЕКОЛОГО-ГЕОЛОГІЧНИЙ ЦЕНТР""","95007 М.СІМФЕРОПОЛЬ, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ БЕЗПАЛОВА, 47",ДЕРЖАВНА СЛУЖБА ГЕОЛОГІЇ ТА НАДР УКРАЇНИ,UA-43,АР Крим,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
23460862,NA,NA,"ДП ""ОРГАН З СЕРТИФІКАЦІЇ АВТОМАТИЗОВАНИХ ТА АВТОМАТИЧНИХ СИСТЕМ УПРАВЛІННЯ ТА УМОВ ПРОЦЕСУ ПЕРЕВЕЗЕНЬ НА ЗАЛІЗНИЧНОМУ ТРАНСПОРТІ""","61050 М.ХАРКІВ, МОСКОВСЬКИЙ Р-Н, МІКРОРАЙОН ФЕЙЕРБАХА 7",МІНІСТЕРСТВО ІНФРАСТРУКТУРИ УКРАЇНИ,UA-63,Харківська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
23465351,NA,NA,"ВИДАВНИЦТВО ""ПРАВО""","61002 М.ХАРКІВ, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ ЧЕРНИШЕВСЬКОГО, 80",НАЦІОНАЛЬНА АКАДЕМІЯ ПРАВОВИХ НАУК УКРАЇНИ,UA-63,Харківська,Видання книг,зареєстровано
23493057,NA,NA,КІБЕРНЕТИЧНИЙ ЦЕНТР НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,"3187 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ПРОСПЕКТ АКАДЕМІКА ГЛУШКОВА, 40",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
23504418,NA,NA,НАУКОВО-ТЕХНОЛОГІЧНИЙ АЛМАЗНИЙ КОНЦЕРН (АЛКОН) НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,"4074 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ВУЛИЦЯ АВТОЗАВОДСЬКА, 2",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Діяльність головних управлінь (хед-офісів),зареєстровано
23506819,NA,NA,"ХК ""УКРКОМУНМАШ""","М. КИЇВ, ВУЛ. ГОНТИ, 3-А","МІНІСТЕРСТВО РЕГІОНАЛЬНОГО РОЗВИТКУ, БУДІВНИЦТВА ТА ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА УКРАЇНИ",UA-30,Київ,Виробництво інших машин та устатковання загального призначення,в стані припинення
23510755,NA,NA,"ДАХК ""ЕНЕРГОБУД""","М.КИЇВ,ВУЛ.КОМІНТЕРНУ,27",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-30,Київ,Інше фінансове посередництво,в стані припинення
23510933,NA,NA,"ДП ""КИЇВСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖГІРПРОМНАГЛЯДУ УКРАЇНИ""","4073 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ВУЛИЦЯ ЛИВАРСЬКА, 1-А",ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ПРАЦІ,UA-30,Київ,Технічні випробування та дослідження,зареєстровано
23516456,NA,NA,ДП КОНСТРУКТОРСЬКЕ БЮРО ЛАЗЕРНОЇ ТЕХНІКИ,"2660 М.КИЇВ, ДАРНИЦЬКИЙ Р-Н, ВУЛИЦЯ КОЛЕКТОРНА, 24/26","ДЕРЖАВНИЙ КОНЦЕРН ""УКРОБОРОНПРОМ""",UA-30,Київ,Виробництво вибухових речовин,зареєстровано
23521865,NA,NA,"ДП ""ВИДАВНИЧО-ПОЛІГРАФІЧНИЙ ЦЕНТР ""ПОЛІГРАФ-КОЛЕГІУМ""","3035 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ПЛОЩА СОЛОМ'ЯНСЬКА, 2",МІНІСТЕРСТВО СОЦІАЛЬНОЇ ПОЛІТИКИ УКРАЇНИ,UA-30,Київ,Інша поліграфічна діяльність,порушено справу про банкрутство
23528927,NA,NA,ПІДПРИЄМСТВО ГРОМАДСЬКОГО ХАРЧУВАННЯ №1 НАЦІОНАЛЬНОГО МЕДИЧНОГО УНІВЕРСИТЕТУ ІМ. О.О.БОГОМОЛЬЦЯ,"3057 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ПРОСПЕКТ ПЕРЕМОГИ, 34",МІНІСТЕРСТВО ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ,UA-30,Київ,Постачання інших готових страв,в стані припинення
23539109,NA,NA,"ДЕРЖАВНЕ ГОСПРОЗРАХУНКОВЕ ПІДПРИЄМСТВО ""УКРІНФОРМЗВ'ЯЗОК""","4119 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ МЕЛЬНИКОВА, 83-Б",АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ,UA-30,Київ,Діяльність у сфері проводового електрозв'язку,в стані припинення
23568810,NA,2017-01-31,"ДП ""УКРАЇНСЬКИЙ АВІАЦІЙНИЙ МЕТЕОРОЛОГІЧНИЙ ЦЕНТР""","8307 КИЇВСЬКА ОБЛ., М.БОРИСПІЛЬ, АЕРОПОРТ",ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ,UA-32,Київська,"Інша професійна, наукова та технічна діяльність",зареєстровано
23572526,NA,NA,"ДП ""РЕМОНТНО-БУДІВЕЛЬНИЙ ТРЕСТ ""РЕМБУДМАТЕРІАЛИ""","8200 КИЇВСЬКА ОБЛ., М.ІРПІНЬ, ВУЛИЦЯ 3 ІНТЕРНАЦІОНАЛУ, 152",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-32,Київська,Будівництво житлових і нежитлових будівель,зареєстровано
23579847,NA,NA,"ДЕРЖАВНА БУДІВЕЛЬНО-ПРОМИСЛОВА КОМПАНІЯ ""АТОМСПЕЦБУД""","7270 КИЇВСЬКА ОБЛ., М.ПРИП'ЯТЬ, ВУЛИЦЯ КУРЧАТОВА, 8",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-32,Київська,Будівництво житлових і нежитлових будівель,в стані припинення
23597733,NA,NA,ДП МАРІУПОЛЬСЬКИЙ ЗАГІН ФУМІГАЦІЙНИЙ,"87510 ДОНЕЦЬКА ОБЛ., М.МАРІУПОЛЬ, ПРИМОРСЬКИЙ Р-Н, МОРСЬКИЙ ТОРГОВИЙ ПОРТ",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-14,Донецька,Надання послуг у рослинництві; облаштування ландшафту,в стані припинення
23631430,NA,NA,"НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ВПРОВАДЖЕННЯ ЕЛЕКТРОГІДРОІМПУЛЬСНИХ АГРЕГАТІВ - НТЦ ""ВЕГА"" ІНСТИТУТУ ІМПУЛЬСНИХ ПРОЦЕСІВ І ТЕХНОЛОГІЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","54018 М.МИКОЛАЇВ, ЛЕНІНСЬКИЙ Р-Н, ПРОСПЕКТ ЖОВТНЕВИЙ, 43-А",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-48,Миколаївська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
23642971,NA,NA,"ДНІПРОПЕТРОВСЬКЕ ДП ""ГОСПРОЗРАХУНКОВА АПТЕКА ДЛЯ ОБСЛУГОВУВАННЯ ОСІБ, ПОТЕРПІЛИХ ВНАСЛІДОК ЧОРНОБИЛЬСЬКОЇ КАТАСТРОФИ""","49005 М.ДНІПРОПЕТРОВСЬК, ЖОВТНЕВИЙ Р-Н, ПЛОЩА ЖОВТНЕВА, 14",ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ,UA-12,Дніпропетровська,Роздрібна торгівля фармацевтичними товарами в спеціалізованих магазинах,в стані припинення
23655123,18999686,2016-03-31,ХМЕЛЬНИЦЬКЕ ДЕРЖАВНЕ ЕКСПЕРИМЕНТАЛЬНЕ ПРОТЕЗНО-ОРТОПЕДИЧНЕ ПІДПРИЄМСТВО,"29006 М.ХМЕЛЬНИЦЬКИЙ, ВУЛИЦЯ ЧОРНОВОЛА, 159/1",МІНІСТЕРСТВО СОЦІАЛЬНОЇ ПОЛІТИКИ УКРАЇНИ,UA-68,Хмельницька,Виробництво медичних і стоматологічних інструментів і матеріалів,зареєстровано
23656341,NA,NA,"ДП МІНІСТЕРСТВА ОБОРОНИ УКРАЇНИ ""ПОДІЛЬСЬКВИБУХПРОМ""","32300 ХМЕЛЬНИЦЬКА ОБЛ., М.КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКИЙ, ВУЛИЦЯ ВОКЗАЛЬНА, 77",МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ,UA-68,Хмельницька,Інша діяльність щодо поводження з відходами,зареєстровано
23679034,NA,NA,"ДП ""КІРОВОГРАДСЬКА ГОСПРОЗРАХУНКОВА ВИРОБНИЧА ЛАБОРАТОРІЯ ВЕТЕРИНАРНИХ ПРЕПАРАТІВ""","25004 М.КІРОВОГРАД, ЛЕНІНСЬКИЙ Р-Н, ВУЛИЦЯ ПРЕОБРАЖЕНСЬКА, 92А",ДЕРЖАВНА ВЕТЕРИНАРНА ТА ФІТОСАНІТАРНА СЛУЖБА УКРАЇНИ,UA-35,Кіровоградська,Роздрібна торгівля фармацевтичними товарами в спеціалізованих магазинах,в стані припинення
23696820,NA,NA,"ДП ""ЦЕНТРАЛЬНИЙ НДІ НАВІГАЦІЇ І УПРАВЛІННЯ""","4073 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ВУЛИЦЯ ФРУНЗЕ, 160/20","ДЕРЖАВНИЙ КОНЦЕРН ""УКРОБОРОНПРОМ""",UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
23697280,333163733,2016-11-30,"ПАТ АКЦІОНЕРНИЙ БАНК ""УКРГАЗБАНК""","3087 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ВУЛИЦЯ ЄРЕВАНСЬКА, 1",МІНІСТЕРСТВО ФІНАНСІВ УКРАЇНИ,UA-30,Київ,Інші види грошового посередництва,зареєстровано
23710750,NA,NA,НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР ЕЛЕКТРОШЛАКОВИХ ТЕХНОЛОГІЙ ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ. Є.О. ПАТОНА НАН УКРАЇНИ,"3150 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ВУЛИЦЯ БОЖЕНКА, 11",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
23712944,258115232,2016-09-30,"ДП ""НАУКОВО-ВИРОБНИЧИЙ ЦЕНТР ""ТИТАН"" ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ.Є.О.ПАТОНА НАН УКРАЇНИ""","3028 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ВУЛИЦЯ РАКЕТНА, 26",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
23717404,NA,NA,"МАЛЕ ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ЛІНАТЕК""","М.КИЇВ, ВУЛ. АВТОЗАВОДСЬКА,  2",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
23718243,NA,NA,"ПІДПРИЄМСТВО ""ЦЕНТР З СЕРТИФІКАЦІЇ ВИСОКОМІЦНИХ, НАДТВЕРДИХ МАТЕРІАЛІВ ТА ІНСТРУМЕНТУ НА ЇХ ОСНОВІ ""СЕПРАЛ"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","4074 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ВУЛИЦЯ АВТОЗАВОДСЬКА, 2",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Технічні випробування та дослідження,в стані припинення
23733490,NA,NA,"ДП ""ТЕХНІК""","1023 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛИЦЯ ЕСПЛАНАДНА, 8/10",МІНІСТЕРСТВО СОЦІАЛЬНОЇ ПОЛІТИКИ УКРАЇНИ,UA-30,Київ,Комплексне обслуговування об'єктів,зареєстровано
23734515,NA,NA,"ЗАТ ""КИЇВСЬКИЙ ІННОВАЦІЙНИЙ БІЗНЕС-ІНКУБАТОР""","М. КИЇВ, ВУЛ. ХРЕЩАТИК, 32 А, КВ.516",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-30,Київ,Дослідження та розробки в галузі гуманітарних та суспільних наук,зареєстровано
23745145,NA,NA,КИЇВСЬКИЙ УНІВЕРСИТЕТ ПРАВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,"1001 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ТРЬОХСВЯТИТЕЛЬСЬКА, 4",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Вища освіта,зареєстровано
23764023,NA,NA,"ДП ""ХАРКІВЦУКОРЗБУТ""","61002 М.ХАРКІВ, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ ГАРШИНА, 9",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-63,Харківська,"Неспеціалізована оптова торгівля харчовими продуктами, напоями та тютюновими виробами",зареєстровано
23779960,NA,NA,ДП МАКІЇВСЬКИЙ ВИРОБНИЧО-ТОРГІВЕЛЬНИЙ КОМПЛЕКС,"86141 ДОНЕЦЬКА ОБЛ., М.МАКІЇВКА, СОВЄТСЬКИЙ Р-Н, ВУЛИЦЯ КУЛАБУХОВА, 2",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Роздрібна торгівля в неспеціалізованих магазинах з перевагою  продовольчого асортименту,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
23787528,NA,NA,"ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ КОНСТРУКТОРСЬКЕ БЮРО ""ПРИЧАЛ""","69076 М.ЗАПОРІЖЖЯ, ХОРТИЦЬКИЙ Р-Н, ВУЛИЦЯ НОВОБУДОВ, 7",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-23,Запорізька,Ремонт інших електропобутових товарів,в стані припинення
23819004,NA,NA,ДП КОМБІНАТ СТУДЕНТСЬКОГО ХАРЧУВАННЯ СУМСЬКОГО ДЕРЖАВНОГО ПЕДАГОГІЧНОГО ІНСТИТУТУ ІМ.А.С.МАК,"40030 М.СУМИ, КОВПАКІВСЬКИЙ Р-Н, ВУЛИЦЯ РОМЕНСЬКА, 87",МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ,UA-59,Сумська,Діяльність їдалень,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
23831376,NA,NA,"ДП ""НАУКОВО-ТЕХНІЧНИЙ КОМПЛЕКС ""ЗАВОД ТОЧНОЇ МЕХАНІКИ""","32300 ХМЕЛЬНИЦЬКА ОБЛ., М.КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКИЙ, ВУЛИЦЯ ГОДОВАНЦЯ, 28","ДЕРЖАВНИЙ КОНЦЕРН ""УКРОБОРОНПРОМ""",UA-68,Хмельницька,Виробництво зброї та боєприпасів,зареєстровано
23838734,NA,NA,БУДІВЕЛЬНА ДІЛЬНИЦЯ N 4 ПРИ В/Ч А-1831,"30400 ХМЕЛЬНИЦЬКА ОБЛ., М.СЛАВУТА, ВУЛИЦЯ ДЗЕРЖИНСЬКОГО, 180",МІНІСТЕРСТВО ОБОРОНИ УКРАЇНИ,UA-68,Хмельницька,Будівництво житлових і нежитлових будівель,в стані припинення
23839188,NA,NA,"ХМЕЛЬНИЦЬКЕ ДП ПО РОЗВИТКУ КУРОРТІВ І ЕКСПЛУАТАЦІЇ ПРИРОДНИХ ЛІКУВАЛЬНИХ РЕСУРСІВ ""ХМЕЛЬНИЦЬККУРОРТРЕСУРСИ""","32034 ХМЕЛЬНИЦЬКА ОБЛ., ГОРОДОЦЬКИЙ Р-Н, СМТ САТАНІВ,  2",ХМЕЛЬНИЦЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ,UA-68,Хмельницька,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
